iter	Passed	Remaining
0	161	80412
1	178	44449
2	189	31440
3	201	25034
4	213	21102
5	225	18537
6	236	16666
7	248	15291
8	261	14243
9	271	13323
10	283	12582
11	294	11958
12	305	11449
13	317	11028
14	331	10734
15	343	10383
16	354	10083
17	365	9783
18	378	9582
19	390	9371
20	401	9159
21	412	8958
22	423	8774
23	435	8640
24	446	8490
25	458	8356
26	469	8223
27	482	8133
28	495	8040
29	507	7943
30	519	7855
31	532	7782
32	547	7741
33	561	7692
34	575	7642
35	588	7580
36	600	7508
37	613	7456
38	625	7395
39	638	7339
40	650	7281
41	664	7242
42	676	7189
43	688	7137
44	699	7074
45	714	7054
46	726	7003
47	738	6957
48	751	6912
49	766	6895
50	781	6878
51	795	6857
52	810	6832
53	824	6807
54	842	6813
55	859	6811
56	876	6810
57	891	6792
58	904	6758
59	918	6737
60	935	6733
61	953	6737
62	971	6739
63	987	6726
64	1001	6699
65	1014	6669
66	1028	6649
67	1043	6632
68	1057	6606
69	1072	6587
70	1086	6562
71	1101	6548
72	1132	6624
73	1148	6610
74	1164	6598
75	1179	6580
76	1195	6569
77	1211	6556
78	1227	6540
79	1243	6526
80	1258	6507
81	1273	6490
82	1288	6474
83	1304	6461
84	1320	6449
85	1336	6435
86	1353	6423
87	1371	6421
88	1389	6416
89	1407	6412
90	1428	6421
91	1449	6428
92	1467	6423
93	1485	6417
94	1501	6403
95	1517	6387
96	1532	6367
97	1547	6348
98	1562	6327
99	1577	6310
100	1590	6282
101	1603	6255
102	1617	6235
103	1630	6210
104	1644	6187
105	1659	6166
106	1673	6148
107	1688	6128
108	1702	6107
109	1718	6093
110	1733	6075
111	1750	6062
112	1766	6049
113	1784	6041
114	1802	6033
115	1821	6030
116	1842	6030
117	1860	6023
118	1878	6013
119	1895	6003
120	1913	5992
121	1928	5976
122	1945	5961
123	1961	5946
124	1978	5935
125	1996	5926
126	2015	5920
127	2035	5916
128	2054	5909
129	2079	5919
130	2101	5919
131	2130	5940
132	2155	5948
133	2174	5938
134	2196	5938
135	2212	5922
136	2230	5909
137	2249	5900
138	2267	5888
139	2283	5872
140	2301	5859
141	2319	5848
142	2335	5831
143	2352	5817
144	2369	5801
145	2386	5786
146	2402	5769
147	2417	5749
148	2432	5729
149	2446	5709
150	2460	5687
151	2478	5673
152	2490	5649
153	2504	5627
154	2518	5604
155	2532	5583
156	2546	5562
157	2559	5539
158	2573	5518
159	2586	5497
160	2600	5476
161	2615	5456
162	2628	5435
163	2641	5412
164	2658	5397
165	2672	5377
166	2688	5359
167	2701	5339
168	2717	5322
169	2733	5306
170	2749	5289
171	2764	5271
172	2780	5255
173	2795	5238
174	2811	5220
175	2826	5203
176	2840	5183
177	2855	5166
178	2872	5150
179	2887	5132
180	2901	5113
181	2915	5094
182	2930	5077
183	2953	5072
184	2969	5055
185	2984	5037
186	3000	5021
187	3017	5007
188	3032	4989
189	3050	4977
190	3069	4966
191	3090	4958
192	3112	4950
193	3130	4938
194	3147	4923
195	3167	4913
196	3185	4899
197	3195	4874
198	3214	4862
199	3230	4845
200	3248	4831
201	3264	4816
202	3283	4803
203	3300	4788
204	3314	4769
205	3330	4753
206	3346	4736
207	3361	4718
208	3375	4700
209	3388	4679
210	3402	4660
211	3415	4640
212	3430	4622
213	3444	4603
214	3459	4586
215	3474	4568
216	3489	4551
217	3506	4536
218	3528	4527
219	3547	4515
220	3567	4503
221	3586	4491
222	3607	4480
223	3624	4466
224	3641	4450
225	3657	4434
226	3672	4416
227	3687	4399
228	3703	4383
229	3719	4366
230	3734	4348
231	3748	4330
232	3763	4312
233	3779	4296
234	3792	4277
235	3807	4259
236	3823	4243
237	3842	4229
238	3858	4213
239	3877	4200
240	3893	4184
241	3909	4168
242	3926	4152
243	3941	4135
244	3955	4117
