Timestamp,Fossil_MW,Wind_MW,Solar_MW,Hydro_MW,Nuclear_MW,Total_Demand_MW
2024-01-01 00:00:00,2315.8,834.75,0.0,308.9,205.24,3847.93
2024-01-01 01:00:00,2364.0,805.67,0.0,307.34,202.08,3863.05
2024-01-01 02:00:00,2184.63,837.59,0.0,303.31,213.0,3715.46
2024-01-01 03:00:00,2248.61,790.34,0.0,286.82,195.25,3697.08
2024-01-01 04:00:00,2143.84,901.41,0.0,293.02,201.33,3716.59
2024-01-01 05:00:00,2188.2,960.1,0.0,306.43,202.14,3839.72
2024-01-01 06:00:00,1913.64,703.28,0.0,303.15,208.65,3285.15
2024-01-01 07:00:00,1919.12,809.9,82.91,301.62,208.37,3488.02
2024-01-01 08:00:00,1702.17,934.79,160.18,304.2,203.02,3469.59
2024-01-01 09:00:00,1648.34,820.52,226.57,309.51,198.81,3363.93
2024-01-01 10:00:00,1634.37,846.33,277.53,316.8,195.78,3434.35
2024-01-01 11:00:00,1533.28,825.24,309.58,303.13,200.35,3330.17
2024-01-01 12:00:00,1577.47,797.9,320.55,307.13,193.13,3355.99
2024-01-01 13:00:00,1714.53,700.87,309.67,308.7,197.02,3392.33
2024-01-01 14:00:00,1653.92,831.45,277.68,310.47,197.86,3434.96
2024-01-01 15:00:00,1586.31,933.57,226.76,307.5,198.68,3415.46
2024-01-01 16:00:00,1823.99,996.75,160.37,294.29,203.11,3652.44
2024-01-01 17:00:00,1945.98,799.49,83.02,290.8,199.72,3484.96
2024-01-01 18:00:00,1964.08,920.0,0.0,299.05,206.48,3559.09
2024-01-01 19:00:00,2020.58,841.88,0.0,313.23,202.77,3547.38
2024-01-01 20:00:00,2116.87,845.28,0.0,305.61,208.86,3650.46
2024-01-01 21:00:00,2201.86,779.7,0.0,294.2,198.37,3647.84
2024-01-01 22:00:00,2309.76,939.02,0.0,292.19,198.52,3926.46
2024-01-01 23:00:00,2304.02,866.95,0.0,305.31,203.06,3863.31
2024-01-02 00:00:00,2348.61,876.05,0.0,295.46,207.46,3913.97
2024-01-02 01:00:00,2333.09,781.96,0.0,300.54,198.62,3794.93
2024-01-02 02:00:00,2338.92,1029.88,0.0,292.98,200.53,4055.43
2024-01-02 03:00:00,2164.06,766.25,0.0,296.46,200.07,3598.18
2024-01-02 04:00:00,2205.66,869.65,0.0,288.38,201.25,3743.18
2024-01-02 05:00:00,2088.45,954.16,0.0,295.83,200.41,3715.78
2024-01-02 06:00:00,2012.44,778.93,0.0,302.22,201.09,3459.41
2024-01-02 07:00:00,1910.44,838.31,83.19,289.0,196.68,3483.5
2024-01-02 08:00:00,1686.01,800.33,160.73,301.22,186.6,3291.64
2024-01-02 09:00:00,1762.96,902.57,227.35,311.41,199.78,3574.27
2024-01-02 10:00:00,1670.38,943.15,278.48,303.18,210.22,3575.68
2024-01-02 11:00:00,1494.62,753.8,310.65,299.98,196.39,3208.21
2024-01-02 12:00:00,1467.35,887.75,321.65,281.71,193.71,3309.78
2024-01-02 13:00:00,1568.99,792.82,310.74,298.29,195.22,3324.35
2024-01-02 14:00:00,1620.1,833.82,278.64,301.12,202.1,3397.57
2024-01-02 15:00:00,1713.26,906.72,227.54,307.66,198.0,3520.84
2024-01-02 16:00:00,1710.13,946.21,160.92,291.09,196.62,3470.21
2024-01-02 17:00:00,1836.88,767.11,83.31,312.65,201.4,3361.41
2024-01-02 18:00:00,1940.08,784.31,0.0,305.25,194.64,3385.49
2024-01-02 19:00:00,2108.91,1033.92,0.0,314.03,196.14,3835.66
2024-01-02 20:00:00,2276.67,812.89,0.0,303.78,193.81,3766.5
2024-01-02 21:00:00,2138.6,810.92,0.0,323.38,192.84,3639.03
2024-01-02 22:00:00,2421.94,780.64,0.0,293.76,210.65,3892.35
2024-01-02 23:00:00,2263.37,735.17,0.0,302.87,201.53,3678.08
2024-01-03 00:00:00,2317.27,657.8,0.0,301.97,206.42,3657.64
2024-01-03 01:00:00,2343.04,867.53,0.0,314.07,196.97,3907.68
2024-01-03 02:00:00,2214.75,821.57,0.0,290.39,196.1,3698.96
2024-01-03 03:00:00,2219.01,1005.05,0.0,311.88,195.7,3918.22
2024-01-03 04:00:00,2214.47,893.14,0.0,303.21,202.18,3793.66
2024-01-03 05:00:00,2123.27,898.76,0.0,307.13,206.23,3712.15
2024-01-03 06:00:00,1942.35,824.77,0.0,291.65,200.42,3422.15
2024-01-03 07:00:00,1934.83,864.45,83.48,319.97,202.82,3575.82
2024-01-03 08:00:00,1721.59,832.12,161.28,301.64,199.34,3376.78
2024-01-03 09:00:00,1764.31,685.5,228.12,298.9,200.24,3335.94
2024-01-03 10:00:00,1516.04,833.75,279.43,300.69,200.66,3287.11
2024-01-03 11:00:00,1532.73,900.61,311.71,293.03,191.77,3391.34
2024-01-03 12:00:00,1584.6,788.56,322.75,297.4,200.64,3353.65
2024-01-03 13:00:00,1583.34,983.75,311.8,302.89,199.18,3550.01
2024-01-03 14:00:00,1548.97,623.01,279.59,309.32,205.19,3114.38
2024-01-03 15:00:00,1650.27,831.55,228.32,299.85,201.82,3372.4
2024-01-03 16:00:00,1741.05,855.38,161.47,299.18,200.58,3420.54
2024-01-03 17:00:00,1926.54,826.62,83.59,300.54,203.07,3507.39
2024-01-03 18:00:00,1736.86,767.14,0.0,269.45,201.64,3123.84
2024-01-03 19:00:00,2042.49,729.98,0.0,293.78,201.32,3430.95
2024-01-03 20:00:00,2242.62,990.58,0.0,298.0,194.73,3912.22
2024-01-03 21:00:00,2220.83,746.24,0.0,306.17,209.12,3656.48
2024-01-03 22:00:00,2392.87,929.87,0.0,301.76,196.2,4011.74
2024-01-03 23:00:00,2251.56,826.36,0.0,307.77,203.09,3768.22
2024-01-04 00:00:00,2408.83,745.57,0.0,292.06,201.84,3830.71
2024-01-04 01:00:00,2351.44,734.38,0.0,296.47,189.62,3750.5
2024-01-04 02:00:00,2315.27,1006.38,0.0,302.56,197.84,4013.16
2024-01-04 03:00:00,2420.23,793.47,0.0,317.46,202.3,3920.13
2024-01-04 04:00:00,2240.62,840.33,0.0,298.15,197.26,3755.18
2024-01-04 05:00:00,2060.42,848.49,0.0,306.04,199.25,3584.91
2024-01-04 06:00:00,1896.17,733.02,0.0,301.22,209.7,3297.11
2024-01-04 07:00:00,1920.11,799.51,83.76,336.68,192.09,3498.76
2024-01-04 08:00:00,1740.15,797.12,161.84,296.96,195.87,3351.53
2024-01-04 09:00:00,1767.5,734.33,228.9,294.57,205.78,3392.64
2024-01-04 10:00:00,1655.59,773.98,280.39,299.42,202.51,3372.48
2024-01-04 11:00:00,1556.43,759.8,312.77,309.6,204.33,3300.09
2024-01-04 12:00:00,1613.52,819.58,323.85,301.56,202.12,3423.66
2024-01-04 13:00:00,1551.12,793.38,312.86,308.41,200.8,3324.9
2024-01-04 14:00:00,1592.39,805.17,280.54,288.28,203.21,3328.07
2024-01-04 15:00:00,1522.02,749.06,229.1,318.06,192.21,3160.97
2024-01-04 16:00:00,1761.6,834.33,162.02,302.04,209.6,3433.06
2024-01-04 17:00:00,1850.95,946.86,83.88,317.32,198.39,3567.27
2024-01-04 18:00:00,2001.03,715.63,0.0,313.75,200.22,3392.15
2024-01-04 19:00:00,2089.6,694.86,0.0,306.1,197.53,3452.48
2024-01-04 20:00:00,2350.1,760.65,0.0,296.65,208.7,3796.91
2024-01-04 21:00:00,2172.82,793.92,0.0,298.39,202.76,3641.28
2024-01-04 22:00:00,2356.48,965.56,0.0,309.44,199.03,4022.02
2024-01-04 23:00:00,2243.62,809.89,0.0,319.46,200.96,3752.62
2024-01-05 00:00:00,2273.49,786.03,0.0,305.61,203.51,3747.06
2024-01-05 01:00:00,2381.99,767.52,0.0,318.27,203.77,3855.13
2024-01-05 02:00:00,2208.05,907.77,0.0,307.88,210.31,3815.7
2024-01-05 03:00:00,2214.06,731.11,0.0,295.46,196.62,3609.12
2024-01-05 04:00:00,2063.71,931.53,0.0,304.57,206.19,3681.3
2024-01-05 05:00:00,2056.0,873.15,0.0,302.84,193.72,3597.0
2024-01-05 06:00:00,1913.03,924.5,0.0,316.28,205.46,3527.24
2024-01-05 07:00:00,1994.9,950.03,84.04,295.56,205.81,3706.86
2024-01-05 08:00:00,1849.16,1012.26,162.38,308.04,189.28,3697.19
2024-01-05 09:00:00,1695.25,745.4,229.68,301.8,199.72,3330.43
2024-01-05 10:00:00,1599.98,814.64,281.34,289.42,201.27,3345.98
2024-01-05 11:00:00,1625.57,733.79,313.84,303.17,203.72,3339.1
2024-01-05 12:00:00,1528.42,803.86,324.95,319.12,200.12,3335.3
2024-01-05 13:00:00,1488.94,762.3,313.92,303.36,203.49,3225.62
2024-01-05 14:00:00,1558.92,544.08,281.5,296.91,179.77,3004.24
2024-01-05 15:00:00,1635.47,994.54,229.87,312.01,203.17,3543.82
2024-01-05 16:00:00,1853.58,869.87,162.57,312.89,202.98,3572.0
2024-01-05 17:00:00,1765.25,721.98,84.16,301.84,195.59,3222.27
2024-01-05 18:00:00,1964.32,1002.39,0.0,299.16,205.54,3644.97
2024-01-05 19:00:00,1984.17,814.87,0.0,295.16,202.54,3461.59
2024-01-05 20:00:00,2262.79,838.94,0.0,308.54,197.5,3788.15
2024-01-05 21:00:00,2345.37,956.98,0.0,309.91,203.49,4006.53
2024-01-05 22:00:00,2380.21,844.85,0.0,311.18,208.34,3931.81
2024-01-05 23:00:00,2447.99,840.15,0.0,305.25,198.08,3981.03
2024-01-06 00:00:00,2342.62,893.48,0.0,300.71,204.09,3927.94
2024-01-06 01:00:00,2533.14,909.21,0.0,321.55,208.82,4171.36
2024-01-06 02:00:00,2350.57,859.3,0.0,285.98,192.33,3872.59
2024-01-06 03:00:00,2358.68,789.95,0.0,303.25,204.57,3839.27
2024-01-06 04:00:00,2306.81,807.43,0.0,295.67,192.17,3782.19
2024-01-06 05:00:00,2165.94,712.14,0.0,297.07,206.36,3550.59
2024-01-06 06:00:00,1846.89,785.73,0.0,319.33,203.51,3313.23
2024-01-06 07:00:00,1945.34,801.29,84.33,283.93,200.88,3481.56
2024-01-06 08:00:00,1766.08,956.64,162.93,274.64,201.15,3529.52
2024-01-06 09:00:00,1656.55,834.99,230.46,303.29,206.41,3393.28
2024-01-06 10:00:00,1718.65,768.95,282.29,304.17,212.37,3450.76
2024-01-06 11:00:00,1561.25,746.07,314.9,303.08,200.83,3282.44
2024-01-06 12:00:00,1602.94,849.5,326.05,297.11,199.49,3438.84
2024-01-06 13:00:00,1528.35,825.92,314.98,288.32,201.58,3317.11
2024-01-06 14:00:00,1543.53,871.3,282.45,294.75,194.49,3345.84
2024-01-06 15:00:00,1851.55,823.95,230.65,293.52,188.56,3557.65
2024-01-06 16:00:00,1743.98,893.27,163.12,283.87,198.45,3446.82
2024-01-06 17:00:00,1899.78,851.53,84.45,296.39,200.03,3498.79
2024-01-06 18:00:00,2030.54,763.05,0.0,291.38,205.7,3455.2
2024-01-06 19:00:00,2120.75,859.66,0.0,280.25,206.08,3640.07
2024-01-06 20:00:00,2060.92,774.0,0.0,282.28,205.17,3488.49
2024-01-06 21:00:00,2115.65,899.28,0.0,301.05,193.13,3684.58
2024-01-06 22:00:00,2417.27,840.13,0.0,289.74,196.48,3930.8
2024-01-06 23:00:00,2248.91,788.76,0.0,290.6,194.66,3699.08
2024-01-07 00:00:00,2420.31,944.96,0.0,293.95,195.13,4047.08
2024-01-07 01:00:00,2253.3,935.57,0.0,286.12,217.1,3876.7
2024-01-07 02:00:00,2260.56,926.86,0.0,289.83,191.21,3851.89
2024-01-07 03:00:00,2258.87,846.03,0.0,304.28,202.58,3792.34
2024-01-07 04:00:00,2221.23,861.59,0.0,305.67,201.52,3769.5
2024-01-07 05:00:00,2073.9,831.24,0.0,301.27,194.36,3570.81
2024-01-07 06:00:00,2070.72,995.25,0.0,327.72,203.3,3776.83
2024-01-07 07:00:00,1914.91,808.6,84.61,307.8,194.91,3476.37
2024-01-07 08:00:00,1771.11,853.33,163.48,298.31,203.76,3454.49
2024-01-07 09:00:00,1747.08,854.88,231.23,306.68,197.58,3504.32
2024-01-07 10:00:00,1537.48,973.65,283.24,314.3,196.9,3470.84
2024-01-07 11:00:00,1519.35,872.57,315.95,325.92,210.03,3406.02
2024-01-07 12:00:00,1554.39,946.49,327.15,302.53,201.22,3498.36
2024-01-07 13:00:00,1533.55,949.83,316.04,308.69,202.4,3476.04
2024-01-07 14:00:00,1692.35,846.98,283.4,301.83,218.57,3510.28
2024-01-07 15:00:00,1665.23,777.46,231.42,295.53,208.37,3336.91
2024-01-07 16:00:00,1744.07,849.6,163.66,305.91,195.16,3421.33
2024-01-07 17:00:00,1860.51,1005.86,84.73,291.04,201.9,3616.24
2024-01-07 18:00:00,2049.86,930.19,0.0,307.71,194.65,3656.53
2024-01-07 19:00:00,2154.86,777.65,0.0,299.0,207.85,3611.32
2024-01-07 20:00:00,2251.57,886.23,0.0,311.37,192.8,3824.07
2024-01-07 21:00:00,2204.87,799.33,0.0,299.81,206.6,3686.15
2024-01-07 22:00:00,2300.28,763.98,0.0,312.34,197.28,3752.58
2024-01-07 23:00:00,2449.16,758.24,0.0,294.96,200.63,3888.14
2024-01-08 00:00:00,2363.83,777.49,0.0,320.09,204.25,3848.94
2024-01-08 01:00:00,2326.06,787.2,0.0,291.99,202.96,3788.61
2024-01-08 02:00:00,2377.56,941.45,0.0,306.46,199.89,4016.63
2024-01-08 03:00:00,2168.87,852.81,0.0,296.65,200.17,3694.42
2024-01-08 04:00:00,2265.73,875.59,0.0,311.59,199.57,3835.11
2024-01-08 05:00:00,2070.87,852.95,0.0,297.03,201.64,3593.62
2024-01-08 06:00:00,1878.36,807.55,0.0,289.01,197.87,3331.43
2024-01-08 07:00:00,1915.73,834.98,84.9,310.93,199.98,3513.84
2024-01-08 08:00:00,1729.67,817.71,164.03,320.63,206.68,3400.65
2024-01-08 09:00:00,1736.99,920.86,232.0,299.68,196.99,3555.85
2024-01-08 10:00:00,1625.86,925.94,284.19,295.16,204.76,3502.69
2024-01-08 11:00:00,1581.25,788.07,317.01,295.68,197.53,3338.53
2024-01-08 12:00:00,1580.49,788.19,328.24,293.04,205.49,3355.22
2024-01-08 13:00:00,1646.79,879.27,317.1,293.12,207.26,3510.72
2024-01-08 14:00:00,1588.8,820.44,284.34,275.93,194.2,3321.88
2024-01-08 15:00:00,1691.56,858.36,232.2,295.56,207.64,3449.57
2024-01-08 16:00:00,1711.2,828.63,164.21,301.88,195.64,3361.65
2024-01-08 17:00:00,1921.58,898.14,85.01,278.3,201.86,3554.14
2024-01-08 18:00:00,2109.05,803.95,0.0,296.56,195.28,3575.08
2024-01-08 19:00:00,2082.12,796.05,0.0,296.62,194.3,3537.55
2024-01-08 20:00:00,2232.04,784.12,0.0,307.07,190.9,3689.83
2024-01-08 21:00:00,2315.03,842.94,0.0,292.17,208.65,3841.72
2024-01-08 22:00:00,2293.08,818.99,0.0,307.29,198.82,3799.1
2024-01-08 23:00:00,2362.32,866.74,0.0,311.6,201.32,3929.07
2024-01-09 00:00:00,2565.13,816.77,0.0,284.04,198.69,4057.87
2024-01-09 01:00:00,2349.09,865.98,0.0,302.22,199.82,3902.97
2024-01-09 02:00:00,2378.38,872.56,0.0,280.61,195.67,3913.59
2024-01-09 03:00:00,2251.11,989.16,0.0,299.96,206.25,3933.81
2024-01-09 04:00:00,2173.1,905.27,0.0,309.05,195.23,3761.77
2024-01-09 05:00:00,2120.85,781.34,0.0,296.32,196.5,3564.77
2024-01-09 06:00:00,1930.11,957.84,0.0,284.19,204.07,3545.03
2024-01-09 07:00:00,1954.28,929.79,85.18,273.46,197.82,3612.55
2024-01-09 08:00:00,1733.62,921.69,164.57,302.67,197.9,3486.47
2024-01-09 09:00:00,1698.39,713.8,232.78,307.27,201.85,3311.78
2024-01-09 10:00:00,1619.47,820.61,285.13,306.48,200.22,3393.51
2024-01-09 11:00:00,1595.2,855.35,318.07,287.35,209.85,3429.11
2024-01-09 12:00:00,1631.54,872.02,329.33,287.13,209.35,3495.84
2024-01-09 13:00:00,1539.82,789.89,318.15,314.74,206.87,3327.94
2024-01-09 14:00:00,1664.57,857.38,285.29,291.43,204.95,3468.79
2024-01-09 15:00:00,1748.98,777.21,232.97,291.78,204.39,3418.1
2024-01-09 16:00:00,1825.92,907.33,164.76,293.33,201.82,3562.81
2024-01-09 17:00:00,1881.07,884.67,85.3,311.56,206.25,3537.28
2024-01-09 18:00:00,2059.28,822.31,0.0,304.03,206.26,3561.47
2024-01-09 19:00:00,2063.1,980.9,0.0,302.94,198.23,3722.44
2024-01-09 20:00:00,2218.8,1011.77,0.0,304.01,200.44,3921.78
2024-01-09 21:00:00,2311.93,919.91,0.0,311.31,205.09,3935.65
2024-01-09 22:00:00,2346.36,859.53,0.0,295.13,200.96,3887.08
2024-01-09 23:00:00,2390.04,890.93,0.0,300.77,196.14,3966.78
2024-01-10 00:00:00,2515.62,800.15,0.0,304.3,201.33,4012.47
2024-01-10 01:00:00,2443.21,839.3,0.0,291.78,205.41,3968.69
2024-01-10 02:00:00,2297.32,880.72,0.0,280.79,200.95,3842.77
2024-01-10 03:00:00,2372.76,726.21,0.0,302.17,199.07,3780.23
2024-01-10 04:00:00,2205.52,717.94,0.0,296.31,204.1,3595.06
2024-01-10 05:00:00,2166.18,852.19,0.0,297.63,207.91,3700.12
2024-01-10 06:00:00,1824.29,1009.48,0.0,303.64,199.46,3503.72
2024-01-10 07:00:00,1829.96,811.08,85.46,288.28,205.06,3380.83
2024-01-10 08:00:00,1825.09,824.98,165.12,308.94,198.05,3488.28
2024-01-10 09:00:00,1693.79,730.59,233.55,278.28,203.29,3296.47
2024-01-10 10:00:00,1570.23,792.77,286.07,319.61,199.66,3326.76
2024-01-10 11:00:00,1566.42,807.6,319.12,298.05,195.61,3346.14
2024-01-10 12:00:00,1501.15,830.11,330.42,304.03,193.51,3317.18
2024-01-10 13:00:00,1503.48,893.31,319.2,283.69,202.9,3362.72
2024-01-10 14:00:00,1591.55,803.13,286.23,295.49,203.7,3339.11
2024-01-10 15:00:00,1757.67,826.86,233.74,291.08,197.05,3471.72
2024-01-10 16:00:00,1708.16,837.59,165.3,306.72,200.91,3379.61
2024-01-10 17:00:00,1978.11,836.41,85.58,310.69,198.48,3579.73
2024-01-10 18:00:00,2003.91,1003.66,0.0,303.73,203.64,3690.7
2024-01-10 19:00:00,2101.48,861.35,0.0,292.82,190.53,3618.5
2024-01-10 20:00:00,2223.92,770.02,0.0,310.24,205.18,3684.82
2024-01-10 21:00:00,2346.78,959.51,0.0,311.84,196.41,4005.26
2024-01-10 22:00:00,2282.07,879.74,0.0,307.49,201.25,3854.08
2024-01-10 23:00:00,2460.88,756.1,0.0,314.81,207.12,3925.86
2024-01-11 00:00:00,2418.27,833.22,0.0,290.58,197.19,3926.22
2024-01-11 01:00:00,2349.25,940.17,0.0,302.52,204.04,3985.77
2024-01-11 02:00:00,2375.86,666.06,0.0,295.35,202.58,3716.85
2024-01-11 03:00:00,2241.54,860.15,0.0,297.08,200.2,3778.91
2024-01-11 04:00:00,2153.22,724.32,0.0,305.23,194.2,3545.82
2024-01-11 05:00:00,2049.17,890.6,0.0,299.32,192.62,3603.3
2024-01-11 06:00:00,2004.28,833.09,0.0,285.76,206.68,3496.3
2024-01-11 07:00:00,1931.1,754.87,85.74,298.89,204.01,3438.34
2024-01-11 08:00:00,1700.71,604.44,165.66,307.03,200.22,3126.96
2024-01-11 09:00:00,1695.5,774.98,234.31,292.12,206.65,3363.74
2024-01-11 10:00:00,1640.96,941.32,287.01,303.31,195.28,3536.28
2024-01-11 11:00:00,1713.72,894.18,320.17,309.29,201.26,3610.54
2024-01-11 12:00:00,1566.38,890.03,331.51,301.81,208.71,3463.36
2024-01-11 13:00:00,1608.24,883.84,320.25,291.16,201.81,3470.58
2024-01-11 14:00:00,1679.29,733.36,287.17,313.98,201.26,3375.8
2024-01-11 15:00:00,1731.13,814.27,234.51,305.18,210.34,3460.2
2024-01-11 16:00:00,1925.73,798.82,165.84,309.45,187.85,3557.08
2024-01-11 17:00:00,1899.67,796.57,85.86,297.78,195.08,3438.71
2024-01-11 18:00:00,2045.45,731.91,0.0,317.77,197.81,3457.6
2024-01-11 19:00:00,2035.83,655.64,0.0,283.63,206.94,3341.14
2024-01-11 20:00:00,2314.27,739.67,0.0,309.81,201.92,3743.96
2024-01-11 21:00:00,2332.77,776.53,0.0,310.07,208.68,3809.45
2024-01-11 22:00:00,2446.33,858.13,0.0,302.93,197.56,3995.19
2024-01-11 23:00:00,2322.45,693.15,0.0,305.3,193.01,3689.61
2024-01-12 00:00:00,2468.81,810.6,0.0,296.44,197.08,3961.57
2024-01-12 01:00:00,2404.54,785.75,0.0,301.06,200.44,3876.38
2024-01-12 02:00:00,2270.38,721.59,0.0,319.31,203.09,3690.08
2024-01-12 03:00:00,2341.91,864.57,0.0,305.77,199.98,3897.84
2024-01-12 04:00:00,2178.67,779.96,0.0,305.09,200.3,3637.21
2024-01-12 05:00:00,2110.24,773.04,0.0,280.01,196.24,3527.5
2024-01-12 06:00:00,1949.62,853.95,0.0,301.49,195.02,3465.09
2024-01-12 07:00:00,1873.6,653.67,86.02,305.16,201.5,3275.94
2024-01-12 08:00:00,1729.42,804.94,166.2,285.75,198.2,3343.73
2024-01-12 09:00:00,1751.18,697.74,235.08,293.71,200.33,3336.94
2024-01-12 10:00:00,1610.25,717.09,287.95,299.2,188.86,3258.53
2024-01-12 11:00:00,1585.74,818.38,321.21,323.73,189.3,3400.28
2024-01-12 12:00:00,1536.82,816.04,332.59,300.14,204.5,3349.59
2024-01-12 13:00:00,1608.98,831.62,321.3,310.38,197.24,3432.99
2024-01-12 14:00:00,1511.68,797.13,288.11,292.65,202.85,3247.03
2024-01-12 15:00:00,1511.27,637.69,235.27,315.69,201.8,3046.81
2024-01-12 16:00:00,1790.61,799.39,166.38,297.86,203.07,3420.18
2024-01-12 17:00:00,1811.7,810.3,86.14,291.61,200.66,3360.44
2024-01-12 18:00:00,1919.25,816.9,0.0,292.09,189.53,3378.66
2024-01-12 19:00:00,2219.79,753.51,0.0,320.28,208.85,3677.55
2024-01-12 20:00:00,2164.43,885.76,0.0,290.08,197.83,3715.01
2024-01-12 21:00:00,2191.2,875.65,0.0,311.86,202.46,3760.23
2024-01-12 22:00:00,2451.43,800.21,0.0,283.32,196.06,3917.58
2024-01-12 23:00:00,2363.21,782.0,0.0,298.02,203.31,3828.86
2024-01-13 00:00:00,2443.41,715.77,0.0,311.2,201.6,3855.58
2024-01-13 01:00:00,2491.79,853.45,0.0,294.59,194.59,4026.14
2024-01-13 02:00:00,2272.13,785.74,0.0,282.9,194.94,3712.5
2024-01-13 03:00:00,2289.97,852.86,0.0,308.88,203.94,3838.43
2024-01-13 04:00:00,2376.7,741.36,0.0,292.24,208.84,3800.1
2024-01-13 05:00:00,2072.74,930.1,0.0,295.4,192.6,3665.38
2024-01-13 06:00:00,1874.83,824.43,0.0,299.68,195.83,3354.51
2024-01-13 07:00:00,1872.63,748.76,86.3,289.22,201.5,3358.33
2024-01-13 08:00:00,1796.31,1032.45,166.74,287.64,203.25,3660.7
2024-01-13 09:00:00,1688.63,807.87,235.84,308.65,202.48,3405.65
2024-01-13 10:00:00,1662.08,711.12,288.88,301.53,204.9,3326.94
2024-01-13 11:00:00,1614.82,873.29,322.25,295.36,197.73,3468.63
2024-01-13 12:00:00,1615.41,785.76,333.67,304.94,203.61,3405.56
2024-01-13 13:00:00,1563.8,833.6,322.34,285.34,199.39,3364.69
2024-01-13 14:00:00,1620.35,927.96,289.04,321.35,199.57,3526.19
2024-01-13 15:00:00,1704.65,769.21,236.03,308.66,202.61,3382.22
2024-01-13 16:00:00,1835.39,671.98,166.92,301.41,198.05,3332.45
2024-01-13 17:00:00,1930.76,909.3,86.42,303.65,200.97,3602.65
2024-01-13 18:00:00,2106.6,804.71,0.0,317.04,198.41,3598.1
2024-01-13 19:00:00,2163.96,843.94,0.0,281.24,200.7,3664.33
2024-01-13 20:00:00,2212.39,785.97,0.0,301.41,204.14,3679.11
2024-01-13 21:00:00,2284.41,840.31,0.0,300.73,198.51,3805.16
